Dates,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-03,0.0,0.0
2017-01-04,29259744.32406011,0.11600786321813596
2017-01-28,55427917.29614705,0.21975838807552972
2017-02-19,58780683.53647766,0.23305130147569325
2017-02-21,46813671.44894948,0.18560497091298273
2017-03-03,54372035.63167071,0.21557207071231252
2017-03-05,44345708.45488667,0.1758200900106833
2017-03-15,20734073.040968616,0.0822056229422911
2017-03-17,28653806.799748506,0.1136054663734966
2017-03-20,23189482.188233323,0.09194073085525452
2017-03-27,28959016.074545674,0.11481554789066357
2017-04-01,32576902.40221523,0.12915959880207004
2017-04-08,28858176.91032011,0.11441574480828014
2017-04-10,25993801.29608433,0.10305918301534647
2017-04-13,21082365.38253646,0.08358651847825456
2017-04-20,38984476.18114718,0.15456409086713627
2017-04-22,20032123.279561725,0.07942256062276382
2017-04-25,15673480.085098207,0.06214158653358831
2017-05-02,20541699.03382554,0.08144290617825473
2017-05-07,23268514.48071433,0.09225407492533284
2017-05-14,26206233.916603416,0.10390142736687978
2017-05-19,27602285.730984256,0.1094364377256323
2017-05-26,18600704.308556795,0.07374732797694614
2017-05-28,26485981.499570545,0.10501055938734549
2017-05-31,19997522.09819758,0.07928537524375226
2017-06-03,11567516.322031775,0.04586242574089625
2017-06-06,11838469.418950845,0.04693668973506488
2017-06-09,11588292.670346815,0.045944798975153175
2017-06-12,10184451.057824824,0.04037890393650574
2017-06-19,10946576.679834643,0.04340054909970188
2017-06-24,11871435.314351078,0.047067391597736624
2017-07-01,9752663.166674953,0.03866696858734508
2017-07-03,20328428.544814665,0.08059733987925963
2017-07-06,24546364.433071755,0.09732044327238926
2017-07-13,16744309.20153102,0.06638716695607294
2017-07-15,16455704.902354704,0.06524292018165798
2017-07-18,15258081.520945622,0.060494630932147964
2017-07-25,30105316.24085415,0.11936035291107833
2017-07-27,22220130.34191392,0.08809748345183821
2017-07-30,20397905.258638866,0.08087279837352733
2017-08-06,33924467.55560428,0.13450237118792902
2017-08-08,29347145.49506811,0.11635438788284616
2017-08-11,29105118.08471539,0.11539480729306806
2017-08-18,22467390.38176207,0.08907781016161155
2017-08-23,23411746.82730154,0.09282195680041945
2017-08-30,13212696.61422032,0.052385170717462695
2017-09-01,8604133.645614685,0.03411332471043705
2017-09-04,8946601.906390708,0.035471129163977294
2017-09-11,11332696.5471134,0.044931421695613316
2017-09-16,12252018.614261163,0.048576313032937656
2017-09-25,4817926.668312643,0.019101922824152233
2017-09-28,4815781.5409472585,0.019093417909029502
2017-10-05,6332401.457124447,0.02510645185222462
2017-10-10,7685347.038245855,0.03047055634261324
2017-10-17,5617923.9159946535,0.022273719893057792
2017-10-22,6943758.709684452,0.02753033661850665
2017-10-29,7021838.353586741,0.027839903665628427
2017-10-31,3589773.0193346213,0.014232588391713595
2017-11-03,3683983.3084124406,0.014606109575222152
2017-11-10,8685611.525088323,0.03443636494594277
2017-11-12,7338790.695982088,0.029096543627209787
2017-11-15,6584000.12385903,0.02610398017623018
2017-11-22,13032136.37829455,0.05166929272072002
2017-11-24,19944396.54077013,0.0790747451599356
2017-11-27,14259077.257659972,0.056533818812737925
2017-12-04,16876232.589858536,0.06691021152607579
2017-12-06,15924488.875802675,0.06313677614071858
2017-12-09,11072118.74091309,0.043898293238830786
2017-12-16,15652222.218646536,0.06205730419549532
2017-12-21,18477748.286158934,0.07325983686047564
2017-12-28,23768603.07580389,0.09423680617183916
2017-12-30,23691579.81060172,0.09393142741270762
2018-01-02,17018638.375989422,0.06747481628734701
2018-01-09,28592331.575295813,0.1133617318640413
2018-01-11,34234572.95045225,0.1357318646459135
2018-01-14,26976679.42706883,0.10695605889083346
2018-01-21,40382218.56082738,0.16010580391152532
2018-01-23,43576359.69348185,0.1727698068335093
2018-01-26,34844658.78368132,0.1381507085397189
2018-02-02,57609737.68947609,0.22840878224687336
2018-02-04,58172975.08746217,0.23064188333966656
2018-02-07,50258405.11244386,0.19926251307164616
2018-02-14,55294156.4999037,0.2192280586241617
2018-02-19,60071238.00510272,0.23816804018036813
2018-02-26,46442050.85364932,0.18413158445030015
2018-03-03,51725615.39414084,0.20507964967360154
2018-03-12,31737058.20094111,0.12582981812637772
2018-03-15,30399064.56041985,0.12052499449165131
2018-03-22,43332757.37517972,0.17180398211172676
2018-03-24,49131807.158690296,0.1947958225950173
2018-03-27,38250094.070350304,0.15165244206680428
2018-04-03,43889352.93873267,0.17401074992518903
2018-04-08,52205153.23058674,0.20698090209475112
2018-04-15,45522687.66212282,0.18048653006468496
2018-04-17,47138920.40738168,0.18689450496576726
2018-04-20,35126682.46264407,0.13926886473449068
2018-04-27,39918204.41504557,0.158266099197808
2018-04-29,43092939.18750181,0.17085316055958888
2018-05-02,31985768.08295259,0.12681589311233243
2018-05-09,33058024.23291097,0.13106713138022433
2018-05-11,21856215.179622244,0.08665464718154915
2018-05-14,15890684.07866026,0.06300274823399524
2018-05-23,14491419.908017514,0.05745500165370531
2018-05-26,13270241.09911546,0.05261332078804223
2018-06-02,17940882.845779695,0.07113129424970353
2018-06-04,15426313.859143818,0.06116163177338619
2018-06-07,14075228.52005008,0.05580490269613545
2018-06-14,24865403.740185186,0.09858535754815721
2018-06-16,18068478.480743285,0.07163718031638101
2018-06-19,15782927.512815194,0.06257551931452955
2018-06-26,27480905.20956376,0.10895519309237978
2018-06-28,15504942.29810928,0.06147337466120973
2018-07-01,12161435.215982145,0.04821717160090726
2018-07-10,14490827.66047501,0.057452653534352624
2018-07-13,12956320.46757816,0.051368700832331124
2018-07-20,28696290.385482725,0.11377390359387309
2018-07-22,33344989.33324297,0.13220487912466786
2018-07-25,28460595.44082914,0.11283942971065136
2018-08-01,21438279.22742897,0.08499763144556027
2018-08-03,25553793.49740646,0.10131465770580843
2018-08-06,23119555.42252609,0.09166348801329363
2018-08-13,33701071.09660271,0.13361665784839175
2018-08-18,34477963.48728909,0.13669684970501872
2018-08-25,26211140.43285928,0.10392088052615499
2018-08-27,17720367.46386157,0.07025700368927587
2018-08-30,14695570.867203744,0.05826441120584733
2018-09-06,8910951.15577925,0.03532978249482144
2018-09-08,6503501.4745872365,0.025784822353436494
2018-09-11,5858285.645841503,0.023226696459432608
2018-09-18,6385403.146817828,0.02531659083020686
2018-09-20,10162325.295833336,0.04029118060091272
2018-09-23,6982360.923998753,0.02768338513282358
2018-09-30,9050084.822865233,0.035881414089465144
2018-10-02,2093068.8756893976,0.008298515706353937
2018-10-05,2341107.099202265,0.0092819277275755
2018-10-12,3150861.788455708,0.012492410710296338
2018-10-14,2349538.385787515,0.009315355755178951
2018-10-17,2485986.6345457486,0.009856340310716685
2018-10-24,1773040.8682127108,0.00702968147095702
2018-10-26,1387757.485036393,0.005502125333735897
2018-10-29,1659956.87014564,0.006581330561440107
2018-11-05,1275397.2980385572,0.005056644161376821
2018-11-07,939003.7948018392,0.0037229246633952435
2018-11-10,1157839.00593525,0.004590553749942024
2018-11-17,11056472.938180873,0.04383626138635816
2018-11-19,10655653.68262619,0.04224710924413156
2018-11-22,8081484.1834084615,0.03204114504095186
2018-11-29,16339544.708443286,0.06478237289397758
2018-12-01,16463546.649406776,0.06527401082651574
2018-12-04,11977548.005379384,0.04748810294812248
2018-12-11,10837201.18297146,0.04296690150733088
2018-12-13,27437981.786269426,0.10878501202164881
2018-12-16,15890385.612765335,0.0630015648883607
2018-12-23,13132661.861259427,0.05206785213219571
2018-12-25,13833443.148241105,0.05484628173108835
2018-12-28,12237532.53328376,0.04851887919886237
2019-01-04,27987654.73214632,0.11096433331761658
2019-01-09,33336994.415479336,0.13217318119470334
2019-01-16,42804743.40264303,0.16971053344638992
2019-01-18,58656501.39088973,0.23255894907507252
2019-01-21,38212619.40207293,0.1515038640018862
2019-01-28,49163530.60326576,0.19492159843838625
2019-01-30,83950772.72905186,0.33284466371089877
