,Total Flooded Area (m^2),Fractional Flooded Area
2017-01-02 00:00:00.000000000,159426316.35420018,0.34444861104362906
2017-01-10 00:00:00.000000000,,
2017-01-18 00:00:00.000000001,,
2017-01-26 00:00:00.000000001,202615519.6325701,0.43776106673798365
2017-02-03 00:00:00.000000002,188764154.08643505,0.4078344916747815
2017-02-11 00:00:00.000000002,,
2017-02-19 00:00:00.000000003,173336845.90581077,0.37450301292975396
2017-02-27 00:00:00.000000003,135772798.12783986,0.2933439898889653
2017-03-07 00:00:00.000000004,93119952.50041024,0.20119036199740925
2017-03-15 00:00:00.000000004,126408258.19516316,0.2731114282477196
2017-03-23 00:00:00.000000005,37265446.505124204,0.08051387990482488
2017-03-31 00:00:00.000000005,161046540.18619293,0.34794918648984197
2017-04-08 00:00:00.000000006,109090509.79179049,0.23569555789233843
2017-04-16 00:00:00.000000006,52578154.5938441,0.11359775936144982
2017-04-24 00:00:00.000000007,61793635.13138335,0.13350827064869983
2017-05-02 00:00:00.000000007,76352757.68024498,0.16496399047369878
2017-05-10 00:00:00.000000008,11143930.787792908,0.02407702548237717
2017-05-18 00:00:00.000000008,61635237.40436748,0.1331660443568882
2017-05-26 00:00:00.000000009,24518323.42392685,0.05297307647582476
2017-06-03 00:00:00.000000009,5972069.250650262,0.012902957337812533
2017-06-11 00:00:00.000000010,5627350.778837467,0.012158175663542407
2017-06-19 00:00:00.000000010,5475796.450974082,0.011830734881342973
2017-06-27 00:00:00.000000011,6630334.660845738,0.014325173013524109
2017-07-05 00:00:00.000000011,17734179.083525714,0.03831558987882541
2017-07-13 00:00:00.000000012,29081617.13403763,0.06283230308393159
2017-07-21 00:00:00.000000012,116900040.14750388,0.2525684427801267
2017-07-29 00:00:00.000000013,154460916.94932824,0.33372061476674625
2017-08-06 00:00:00.000000013,169341811.20062414,0.3658715386114529
2017-08-14 00:00:00.000000014,92705800.69836631,0.2002955661052536
2017-08-22 00:00:00.000000014,94109121.61902817,0.20332751185313455
2017-08-30 00:00:00.000000015,73946066.55292246,0.15976421270190663
2017-09-07 00:00:00.000000015,21729838.508330192,0.046948413935423074
2017-09-15 00:00:00.000000016,63757628.20712052,0.13775157691398413
2017-09-23 00:00:00.000000016,68705487.197537,0.14844167623925644
2017-10-01 00:00:00.000000017,14591097.846007582,0.03152480406994356
2017-10-09 00:00:00.000000017,76003829.21819034,0.16421011290281337
2017-10-17 00:00:00.000000018,39471826.40595951,0.0852808751516374
2017-10-25 00:00:00.000000018,20223669.83272595,0.043694260416899305
2017-11-02 00:00:00.000000019,24756316.09165512,0.05348727165835312
2017-11-10 00:00:00.000000019,26912798.2690967,0.05814646035283319
2017-11-18 00:00:00.000000020,8270869.887940649,0.01786963225503063
2017-11-26 00:00:00.000000020,51372843.35809183,0.11099362354169116
2017-12-04 00:00:00.000000021,19036437.21951704,0.041129184374516466
2017-12-12 00:00:00.000000021,8599154.073191535,0.018578906822888243
2017-12-20 00:00:00.000000022,50892651.71088026,0.1099561452275758
2017-12-28 00:00:00.000000022,102872622.86608838,0.22226149904833875
2018-01-05 00:00:00.000000023,47296838.71135882,0.1021872095739035
2018-01-13 00:00:00.000000023,119995526.92315686,0.2592563983495743
2018-01-21 00:00:00.000000024,177505109.33278656,0.38350875665336814
2018-01-29 00:00:00.000000024,129154819.2374249,0.279045512141697
2018-02-06 00:00:00.000000025,227621389.93531865,0.4917875128774196
2018-02-14 00:00:00.000000025,171784149.0087922,0.37114833283815873
2018-02-22 00:00:00.000000026,85250786.4237637,0.18418863112162004
2018-03-02 00:00:00.000000026,70788065.39990485,0.15294119166180195
2018-03-10 00:00:00.000000027,94763886.88002422,0.2047421652796657
2018-03-18 00:00:00.000000027,19369639.677780725,0.04184908511969996
2018-03-26 00:00:00.000000028,119011239.7434752,0.2571297961695669
2018-04-03 00:00:00.000000028,25454799.441459484,0.0549963802244865
2018-04-11 00:00:00.000000029,11198139.665450927,0.024194146501306406
2018-04-19 00:00:00.000000029,63110480.32642999,0.13635338122244947
2018-04-27 00:00:00.000000030,46004588.49210379,0.0993952376879427
2018-05-05 00:00:00.000000030,8044382.055667235,0.017380293850751523
2018-05-13 00:00:00.000000031,29660612.47366468,0.06408325176728563
2018-05-21 00:00:00.000000031,44701890.705715865,0.0965806933053577
2018-05-29 00:00:00.000000032,13308647.259913728,0.028754004786526018
2018-06-06 00:00:00.000000032,36748861.578699216,0.0793977720723022
2018-06-14 00:00:00.000000033,9628286.764690896,0.02080239999686954
2018-06-22 00:00:00.000000033,8795809.940461284,0.019003791759601898
2018-06-30 00:00:00.000000034,23745736.38708149,0.051303863149961666
2018-07-08 00:00:00.000000034,43660278.09934919,0.09433023664479344
2018-07-16 00:00:00.000000035,26084044.289808925,0.056355895510148524
2018-07-24 00:00:00.000000035,145456144.87244418,0.3142653497541864
2018-08-01 00:00:00.000000036,203652975.79403687,0.44000254318934917
2018-08-09 00:00:00.000000036,109114180.3525042,0.235746699334648
2018-08-17 00:00:00.000000037,101422405.15609846,0.21912823041778784
2018-08-25 00:00:00.000000037,65925699.74253476,0.14243580500188338
2018-09-02 00:00:00.000000038,30260082.6290426,0.06537843732450116
2018-09-10 00:00:00.000000038,58900386.10583718,0.12725725995584405
2018-09-18 00:00:00.000000039,67570253.35627049,0.14598894617074495
2018-09-26 00:00:00.000000039,8265432.699419778,0.017857884934532827
2018-10-04 00:00:00.000000040,101436684.4967384,0.21915908165466344
2018-10-12 00:00:00.000000040,101572859.99487978,0.21945329569827693
2018-10-20 00:00:00.000000041,26740836.31992212,0.057774927873753996
2018-10-28 00:00:00.000000041,66671128.57390776,0.14404634165273253
2018-11-05 00:00:00.000000042,3020823.226515856,0.006526641199373779
2018-11-13 00:00:00.000000042,3178566.4268447873,0.006867453353210174
2018-11-21 00:00:00.000000043,12988254.27235236,0.028061779549956884
2018-11-29 00:00:00.000000043,10662875.697176795,0.02303768165516328
2018-12-07 00:00:00.000000044,41187228.94447231,0.08898708900191987
2018-12-15 00:00:00.000000044,24443293.815119486,0.05281097121533925
2018-12-23 00:00:00.000000045,211333724.61446065,0.45659718906382407
2018-12-31 00:00:00.000000045,83291071.46699509,0.1799545679485071
2019-01-08 00:00:00.000000046,186382092.05422705,0.4026879263072991
2019-01-16 00:00:00.000000046,192050539.6235316,0.4149348936629439
2019-01-24 00:00:00.000000047,115306750.85553078,0.24912606076841712
2019-02-01 00:00:00.000000047,224081339.8963841,0.48413905591735995
2019-02-09 00:00:00.000000048,231907707.24282584,0.5010483179742579
2019-02-17 00:00:00.000000048,129158795.05040258,0.2790541020865019
2019-02-25 00:00:00.000000049,157179993.40689605,0.339595316826912
2019-03-05 00:00:00.000000049,62381741.90019158,0.1347789050351288
2019-03-13 00:00:00.000000050,19933319.96761421,0.043066944864225756
2019-03-21 00:00:00.000000050,137100545.10022882,0.29621265430344423
2019-03-29 00:00:00.000000051,85294359.0939869,0.18428277207702226
2019-04-06 00:00:00.000000051,15372941.524389856,0.0332140168375126
2019-04-14 00:00:00.000000052,94642777.8682756,0.20448050314109506
2019-04-22 00:00:00.000000052,114786233.64360736,0.24800145703440754
2019-04-30 00:00:00.000000053,32395471.52061974,0.06999205290919294
2019-05-08 00:00:00.000000053,164769839.57842502,0.3559935629358524
2019-05-16 00:00:00.000000054,56164400.07306632,0.12134602390414395
2019-05-24 00:00:00.000000054,,
2019-06-01 00:00:00.000000055,70103296.15384558,0.15146171310967585
2019-06-09 00:00:00.000000055,100526824.68232808,0.21719328355755527
2019-06-17 00:00:00.000000056,25202050.92672772,0.054450304289009974
2019-06-25 00:00:00.000000056,33515597.46915519,0.07241214161217575
2019-07-03 00:00:00.000000057,28969349.740781683,0.06258974370881196
2019-07-11 00:00:00.000000057,10231039.129974276,0.022104676934410112
2019-07-19 00:00:00.000000058,67043770.71157458,0.14485145381784392
2019-07-27 00:00:00.000000058,132714703.24718264,0.28673682139777495
2019-08-04 00:00:00.000000059,93165753.58499265,0.20128931755461882
2019-08-12 00:00:00.000000059,110528004.60832061,0.23880133806878148
2019-08-20 00:00:00.000000060,97003812.73881412,0.20958163826345305
2019-08-28 00:00:00.000000060,29609334.07243593,0.06397246219073581
2019-09-05 00:00:00.000000061,55492348.28372926,0.11989402205977948
2019-09-13 00:00:00.000000061,53300261.37480202,0.11515790754409702
2019-09-21 00:00:00.000000062,28986183.41817965,0.06262611371930385
2019-09-29 00:00:00.000000062,52162584.74349916,0.11269989970429697
2019-10-07 00:00:00.000000063,81575416.78191534,0.17624780932282774
2019-10-15 00:00:00.000000063,18902245.40863064,0.0408392561874375
2019-10-23 00:00:00.000000064,59525698.70758004,0.12860827942404698
2019-10-31 00:00:00.000000064,35596143.88933106,0.07690726726664548
2019-11-08 00:00:00.000000065,4190612.65524292,0.009054030360416401
2019-11-16 00:00:00.000000065,30871494.37440437,0.0666994232901916
2019-11-24 00:00:00.000000066,61234441.01919072,0.13230010351761842
2019-12-02 00:00:00.000000066,31409452.95844691,0.06786170998984016
2019-12-10 00:00:00.000000067,120573866.47292756,0.2605059301658118
2019-12-18 00:00:00.000000067,137144915.27215356,0.2963085183015642
2019-12-26 00:00:00.000000068,21895406.61895285,0.047306132203280366
2020-01-03 00:00:00.000000068,42547677.124082394,0.0919264060267354
2020-01-11 00:00:00.000000069,129967438.41494304,0.28080121692999344
2020-01-19 00:00:00.000000069,77227429.7524427,0.1668537636759962
2020-01-27 00:00:00.000000070,168414887.50916973,0.3638688731458872
2020-02-04 00:00:00.000000070,240760104.27953607,0.5201743690142073
2020-02-12 00:00:00.000000071,155353118.14955208,0.3356482605357533
2020-02-20 00:00:00.000000071,208907225.6839929,0.45135461553260386
2020-02-28 00:00:00.000000072,132252477.14972816,0.28573815856156803
2020-03-07 00:00:00.000000072,42962677.70301531,0.09282303574424175
2020-03-15 00:00:00.000000073,105299654.86699466,0.22750522430517328
2020-03-23 00:00:00.000000073,165059501.6878282,0.35661939255757075
2020-03-31 00:00:00.000000074,38992216.687743895,0.0842446541245181
2020-04-08 00:00:00.000000074,125220408.16824982,0.27054501825183525
2020-04-16 00:00:00.000000075,58497997.80900659,0.1263878797110194
2020-04-24 00:00:00.000000075,18157100.71238658,0.03922933342488957
2020-05-02 00:00:00.000000076,66818021.80386685,0.14436371189742103
2020-05-10 00:00:00.000000076,84445404.44845122,0.18244856267432788
2020-05-18 00:00:00.000000077,77472961.89366809,0.16738424827192547
2020-05-26 00:00:00.000000077,75573743.69653961,0.16328089140444144
2020-06-03 00:00:00.000000078,65462915.7837597,0.141435936878109
2020-06-11 00:00:00.000000078,33428497.18128889,0.07222395703974674
2020-06-19 00:00:00.000000079,53972002.78053531,0.11660923878900431
2020-06-27 00:00:00.000000079,55684814.73487531,0.12030985555129954
2020-07-05 00:00:00.000000080,24394515.25220113,0.052705582665756236
2020-07-13 00:00:00.000000080,85300077.05568793,0.18429512602216105
2020-07-21 00:00:00.000000081,183891232.24578956,0.3973062978475753
2020-07-29 00:00:00.000000081,148958305.56779975,0.3218319448731925
2020-08-06 00:00:00.000000082,203463856.15149832,0.43959394064691354
2020-08-14 00:00:00.000000082,194313740.6472633,0.41982465381649936
2020-08-22 00:00:00.000000083,133933043.26131427,0.28936910655146414
2020-08-30 00:00:00.000000083,91002159.05125736,0.19661476225503466
2020-09-07 00:00:00.000000084,74953646.41853859,0.16194113990667208
2020-09-15 00:00:00.000000084,22241879.27353672,0.048054703878052475
2020-09-23 00:00:00.000000085,70913191.61321883,0.1532115331673122
2020-10-01 00:00:00.000000085,84606041.72107029,0.18279562761756188
2020-10-09 00:00:00.000000086,23415178.76026504,0.05058967669674249
